source,target
SocioEcon,GoodStudent
Age,GoodStudent
Age,SocioEcon
Age,RiskAversion
SocioEcon,RiskAversion
SocioEcon,VehicleYear
RiskAversion,VehicleYear
Accident,ThisCarDam
RuggedAuto,ThisCarDam
MakeModel,RuggedAuto
VehicleYear,RuggedAuto
Antilock,Accident
Mileage,Accident
DrivQuality,Accident
SocioEcon,MakeModel
RiskAversion,MakeModel
DrivingSkill,DrivQuality
RiskAversion,DrivQuality
MakeModel,Antilock
VehicleYear,Antilock
Age,DrivingSkill
SeniorTrain,DrivingSkill
Age,SeniorTrain
RiskAversion,SeniorTrain
ThisCarDam,ThisCarCost
CarValue,ThisCarCost
Theft,ThisCarCost
AntiTheft,Theft
HomeBase,Theft
CarValue,Theft
MakeModel,CarValue
VehicleYear,CarValue
Mileage,CarValue
RiskAversion,HomeBase
SocioEcon,HomeBase
RiskAversion,AntiTheft
SocioEcon,AntiTheft
OtherCarCost,PropCost
ThisCarCost,PropCost
Accident,OtherCarCost
RuggedAuto,OtherCarCost
SocioEcon,OtherCar
Accident,MedCost
Age,MedCost
Cushioning,MedCost
RuggedAuto,Cushioning
Airbag,Cushioning
MakeModel,Airbag
VehicleYear,Airbag
Accident,ILiCost
DrivingSkill,DrivHist
RiskAversion,DrivHist
