node,state_count,states,description
GoodStudent,2,True|False,
Age,3,Adolescent|Adult|Senior,
SocioEcon,4,Prole|Middle|UpperMiddle|Wealthy,
RiskAversion,4,Psychopath|Adventurous|Normal|Cautious,
VehicleYear,2,Current|Older,
ThisCarDam,4,None|Mild|Moderate|Severe,
RuggedAuto,3,EggShell|Football|Tank,
Accident,4,None|Mild|Moderate|Severe,
MakeModel,5,SportsCar|Economy|FamilySedan|Luxury|SuperLuxury,
DrivQuality,3,Poor|Normal|Excellent,
Mileage,4,FiveThou|TwentyThou|FiftyThou|Domino,
Antilock,2,True|False,
DrivingSkill,3,SubStandard|Normal|Expert,
SeniorTrain,2,True|False,
ThisCarCost,4,Thousand|TenThou|HundredThou|Million,
Theft,2,True|False,
CarValue,5,FiveThou|TenThou|TwentyThou|FiftyThou|Million,
HomeBase,4,Secure|City|Suburb|Rural,
AntiTheft,2,True|False,
PropCost,4,Thousand|TenThou|HundredThou|Million,
OtherCarCost,4,Thousand|TenThou|HundredThou|Million,
OtherCar,2,True|False,
MedCost,4,Thousand|TenThou|HundredThou|Million,
Cushioning,4,Poor|Fair|Good|Excellent,
Airbag,2,True|False,
ILiCost,4,Thousand|TenThou|HundredThou|Million,
DrivHist,3,Zero|One|Many,
