visit to Asia,tuberculosis,positive X-ray,dyspnoea,bronchitis,lung cancer,smoking
0.075425,-1.105322,-0.261962,-0.545979,0.555289,-1.123098,0.899854
-1.394876,0.769431,-0.820667,-1.143068,-0.924387,-0.741447,0.667621
0.355168,0.967185,-0.872581,-0.804589,-1.50827,0.397712,0.026505
0.417093,-0.145924,0.054547,-0.964358,-1.029369,-0.793663,1.497085
-2.07869,0.922504,0.679446,-1.121008,-0.924819,-1.186256,0.455432
-0.286245,1.188056,-0.067864,0.673142,-0.339061,0.156219,-1.307037
-0.412166,0.87228,0.377097,0.653305,0.60657,0.507048,-0.239247
1.350505,-0.089159,-0.12991,-0.325576,1.033954,0.581164,-1.828187
0.015506,0.041676,0.011359,-0.297397,0.34049,0.348272,-1.260344
0.660171,-0.578745,-0.96167,-0.982853,0.348791,0.153306,-0.255157
-1.340418,0.719488,-1.112941,-0.148722,0.42655,-0.270114,0.207657
0.8649,-0.499873,-0.358908,-0.855227,0.980597,-0.579482,-0.223101
3.158138,-0.985023,-0.984037,0.492448,0.375236,-0.629903,-0.3554
-0.144292,0.737185,-0.239602,0.277627,-0.361488,-0.80425,0.832962
-0.304782,-0.765927,-0.950032,0.306173,0.04723,-0.673065,0.285568
-1.249751,0.844477,-0.982419,-0.44346,0.063441,0.630666,-0.281615
0.917291,-0.148073,1.432184,-0.232068,0.292248,0.869584,-1.075512
-0.459817,-0.291121,-0.878654,-0.51265,-0.22232,0.182704,0.239425
-0.405793,-0.180964,1.461487,-0.719182,-0.490638,-0.946763,0.769592
-0.066938,0.932073,-1.523783,0.474398,-0.265167,0.282546,-1.271785
-0.247351,0.2931,1.623293,-0.304429,0.466409,0.095034,-0.769318
0.68011,-0.468793,0.559525,0.298356,-1.014855,0.032803,1.221278
-0.344211,-0.520556,0.895021,-1.289567,0.020736,-0.755726,0.593668
0.33706,-0.327682,1.033957,-0.833555,-0.505322,-1.216654,0.947208
-0.504304,0.87164,-0.160966,-0.788804,-1.058542,-1.505109,1.646908
1.471566,-0.104441,-0.993076,0.063202,-0.86343,-0.454235,-0.261679
1.105497,-0.191587,0.390115,-0.673316,-1.192478,0.202572,0.932393
0.752848,-0.439102,-0.896934,0.658462,-0.473912,-0.906176,0.699418
2.34484,-0.13968,0.352797,1.211443,0.989284,0.009952,0.304156
-0.243585,-0.505121,-0.05292,-0.732549,0.474648,-0.275699,-1.161029
-0.546963,0.796652,-0.682404,-0.128749,-0.524848,1.163677,-0.075283
-0.017247,-0.89411,-0.814682,0.718927,0.648014,0.635096,-0.54892
0.358987,0.177421,1.020103,0.150389,-0.031874,0.678504,0.57221
-1.691129,1.262286,-0.966038,-0.287933,-0.108677,0.987036,0.294857
-1.281563,0.508357,0.356061,1.025531,1.327179,0.098679,-0.306496
-0.23931,0.244845,-0.631691,0.072269,-0.804909,-1.455657,0.676611
-0.623645,0.406734,-0.630498,-0.64949,0.570123,0.222211,0.511098
0.095764,-0.865786,0.996639,0.701004,0.186181,-1.533535,1.416687
0.990407,-0.440597,-0.217544,-0.389683,-0.466924,-1.048562,0.712197
1.038594,1.028324,1.343732,-1.298112,0.90964,1.172094,-2.103348
-0.829569,0.166723,0.385119,-1.248567,0.384953,0.969253,-0.84514
1.180978,0.421162,-2.123729,0.998436,-0.586675,0.536192,0.811812
0.870667,0.698103,2.048337,0.74201,0.326747,1.125644,1.209113
0.244092,-0.253044,-0.575585,-0.18464,0.982207,0.310931,-0.787096
-0.921042,-0.664923,-1.126286,0.006079,0.598631,0.818828,-0.894524
-0.340234,0.527923,0.009067,1.260483,-0.82881,-0.038006,1.665987
0.006682,-0.195808,0.604812,0.549723,-0.046763,0.460515,0.470904
-0.57789,-0.382489,1.273942,0.059067,0.780978,-0.195849,-0.271698
