visit to Asia,tuberculosis,either tuberculosis or lung cancer,positive X-ray,dyspnoea,bronchitis,lung cancer,smoking
-0.207319,-0.563227,-1.106576,0.990854,-1.097314,-0.230902,0.325422,0.141237
-0.708322,-0.427836,-0.292861,-0.652055,0.61252,0.549717,-0.286909,0.269466
-0.300973,0.564557,-0.731134,-1.352291,0.011549,1.03365,0.909834,0.948516
-0.286731,-0.737232,-0.15456,-0.818793,-0.447648,-0.475347,0.111636,1.353026
0.899857,-0.539846,0.181282,0.522532,-1.111284,-0.812137,0.416098,0.729915
-0.6316,-0.332473,0.197239,-0.381925,-0.210586,-0.982462,0.856261,1.523532
-1.285236,-0.752334,-0.320879,0.944842,0.623627,-0.153254,-0.897662,1.196396
0.402764,0.921959,0.264372,-1.057814,0.987914,0.809873,0.254491,0.187187
-0.26299,-0.575872,0.470858,0.531005,0.435499,-0.521879,0.972786,0.105603
-0.441428,-0.997951,0.17992,0.145898,-0.938846,-0.976125,-0.173582,-0.387248
-1.59836,1.115785,0.606801,-0.306893,0.554683,0.627223,0.006099,-0.448276
0.419459,0.930879,-0.192831,1.493305,-1.110947,-0.792517,0.109268,0.379711
-0.290137,-0.550621,0.121306,-0.173644,-0.225812,0.568726,-0.647466,0.557292
-1.499973,-0.875738,-0.464199,-0.322506,-0.374998,-0.908094,-0.04726,1.33361
-0.787438,-0.964487,-0.063486,0.42161,-0.183358,-0.642874,0.892106,0.740522
0.30626,0.43435,0.782959,0.299508,0.519398,-0.272197,-0.197003,2.49713
1.531937,0.308635,0.979352,0.849753,-0.92079,0.472568,-1.009138,-0.847043
0.764862,-0.753853,-0.549775,-0.188164,-0.370847,-0.411172,0.73358,1.100845
-0.377423,-0.444806,0.345872,0.42696,0.479428,0.610891,-1.000888,0.280305
-0.014285,0.386297,0.960155,-0.586339,-0.243331,1.408736,-0.488493,-0.439836
0.250923,-0.502553,-0.125492,-1.246574,0.413054,0.32703,0.062287,-1.622707
-0.255985,-0.993242,-0.817079,-0.200653,-1.555415,-0.449377,-0.304102,0.449731
-0.766705,0.708533,0.730979,0.085683,-0.124256,-0.483358,-0.554821,0.506935
0.059865,0.231739,-0.451404,-0.623604,-1.09006,-1.072599,0.336283,0.234273
-1.919975,-1.122365,-1.874842,0.135168,-0.272276,0.246081,1.203484,-0.41463
-0.657333,-0.930489,1.138144,0.188558,0.881375,0.089867,-0.703089,-0.20466
-0.509525,0.429051,1.052239,0.805341,1.403149,0.322121,0.335962,-1.429015
1.310669,0.875904,1.341748,1.118798,0.942348,0.718076,-1.03569,-1.070486
-0.294162,-0.705144,0.093588,0.460759,-0.017624,0.582683,0.76003,-0.50277
0.467858,-0.772948,-0.434251,-0.203393,0.735977,0.862447,-0.671459,-2.04368
0.76506,-0.169732,1.218173,1.416038,-0.777816,-0.497334,0.866443,0.307307
-0.134802,0.002143,0.918032,-0.571957,0.977882,-0.253916,0.483115,0.853817
-0.693012,-0.682976,-0.19039,0.286218,-0.015805,0.01472,0.786105,-1.258946
0.905462,-0.747115,-0.040815,0.125901,-0.646164,0.849002,-0.608771,-1.557405
1.252513,0.401676,0.752455,-0.142197,0.035642,0.045724,0.619685,-0.81176
0.718734,-0.033459,-0.541369,-1.474016,0.693731,0.701248,0.740107,0.250133
0.084985,-0.168248,-0.712566,-0.630835,0.990106,0.163079,-1.146849,0.139154
-0.400292,-1.108849,-0.100023,-0.869902,0.617256,-0.129432,0.837997,-0.733411
0.654717,1.087773,0.505406,0.467204,0.235174,-0.621996,1.081652,1.275632
-0.236622,0.805829,0.056516,0.194494,0.266489,1.208069,0.473098,-0.123757
2.427722,1.324622,1.098246,0.830002,0.661664,-0.221571,0.783755,-0.609727
-1.734423,-0.662368,0.302393,-0.214017,0.771146,0.289527,-0.7984,0.422072
0.819533,-0.132368,-0.217059,0.504963,0.570001,0.236001,-0.107687,-0.329784
-1.102127,-1.088174,-0.14077,0.310645,0.826616,0.894444,0.415149,0.793141
0.19576,-0.197224,-0.350661,-0.864157,-0.068615,-0.570294,0.019123,0.668066
-0.754262,0.051888,-0.174574,0.12382,-0.645392,0.001583,0.519641,-0.825404
-0.861613,-0.357376,-1.189386,-0.880707,-1.622898,0.058206,1.065991,1.20882
1.000736,-0.113138,-0.464213,-0.372604,-0.407582,-0.839903,0.109949,0.633952
0.399762,-1.048018,-1.174235,-0.609998,-0.109553,-0.640976,1.197162,1.288887
1.778654,0.937606,0.224554,0.102557,0.583664,-0.099164,0.916296,1.129433
0.265803,1.111982,0.048912,-0.288956,1.116631,0.345086,0.373757,-0.195088
-0.194423,1.118779,0.093523,-0.120573,0.376128,0.439887,-0.734352,0.03951
0.917602,-0.188298,0.057885,0.669065,0.697584,1.365103,-1.068135,-0.479802
0.498201,0.170196,-0.027248,-0.990108,-0.646453,-0.296269,0.366939,-0.161314
0.483843,0.162806,0.906443,0.478843,0.711427,1.152531,-1.289545,-1.588436
0.222253,-0.697315,-0.494169,-0.436077,0.481271,0.31717,0.601278,-0.05289
0.688457,-0.354889,-0.709458,-0.815255,-0.075678,0.727025,-0.202614,-0.956163
0.540101,-0.442253,0.092753,-0.096229,-1.116066,-0.234088,-0.163348,0.012727
0.037457,-0.858485,-1.063905,-0.004699,-0.230383,0.091673,0.095587,0.900953
-0.191678,-0.901225,1.193996,-0.567355,-0.675633,-0.184511,0.616811,2.275264
0.961254,-0.370847,0.757307,0.923973,-0.426705,-0.523876,0.467259,2.186022
-0.064537,1.025104,-0.153126,1.044071,-0.283651,1.060491,0.163011,-2.424556
-1.185358,0.507572,0.981593,-0.15268,0.755753,-0.342294,-0.640687,-0.214464
-1.671619,-0.501619,-0.572218,0.106074,-0.684748,0.143206,-1.303644,-1.199223
-1.140761,-1.286833,0.632598,0.972347,-0.106574,-0.851713,0.801525,-0.66526
-1.063856,-1.221916,0.889373,-0.06374,0.692491,1.038666,-0.356943,-0.854616
2.030949,-0.456587,-0.653368,-0.381314,-0.187658,0.886455,-0.038594,-0.5128
-0.296063,1.459864,-0.622674,0.039957,0.138369,0.685263,0.761701,0.769315
-0.651496,-0.018198,-0.459846,0.30064,0.196035,0.438068,0.381049,-0.792335
0.98004,0.186355,-0.008321,-0.284571,0.59542,0.378106,0.429798,0.652472
0.017419,-0.188732,1.186748,-1.12707,-0.49273,-0.277552,-0.670891,-1.03664
-0.512248,0.348061,-0.148836,-0.38123,0.927085,-0.711295,0.315706,-0.270144
-1.52972,-1.320524,-0.819421,-0.986502,-0.941526,0.060557,0.574553,0.381447
