smoker,pollution,cancer,xray,dyspnoea
-1.429575,0.390603,-0.772963,-1.295054,0.124694
-0.797792,1.037004,1.442017,0.537005,0.832039
-0.829678,-0.245089,-0.117526,-0.956025,-0.337238
1.045528,-2.435641,-1.615028,-1.533461,-0.763781
0.274316,0.202264,0.375558,-0.31674,-0.521309
-1.021714,0.666571,-0.240155,-1.265103,0.372339
-2.090978,0.593625,0.577095,-1.257721,-0.207401
1.707949,1.26531,0.941842,1.223223,0.554914
-0.163435,0.131148,-1.205928,0.192335,0.093515
-0.032314,1.085828,-0.265119,0.82643,0.170029
-1.313223,1.172127,0.11233,0.298395,0.525656
0.402696,0.457938,0.985259,0.533978,0.341694
0.680081,-0.655489,0.609316,0.513499,0.238177
1.667837,-0.375956,0.660958,0.594795,-0.810694
1.468615,-1.832711,-0.666616,0.617113,-0.920292
0.165615,1.246745,0.496012,-0.629059,0.650203
-1.169953,0.087416,-0.420953,-0.639368,-1.009542
-0.549393,1.269903,0.151355,-0.081511,-0.351016
-1.247818,1.028508,0.613761,0.390242,0.063395
0.233547,1.329573,0.34501,0.285772,0.444303
0.500734,1.300409,-0.033688,-0.213104,0.639097
0.396479,1.190235,0.900106,0.789823,0.648173
-0.236734,1.807975,0.768893,1.218795,0.650936
-0.509724,-0.255841,0.195565,1.162242,1.554677
0.40907,1.39447,0.832356,0.358336,0.672
1.079144,0.676815,0.828682,1.075212,0.458181
-0.532183,0.876057,0.032558,0.710305,-0.870517
0.067408,-0.671516,-0.597338,-0.042584,-1.170779
-0.009492,0.286596,0.094957,-0.828374,-0.507656
0.266986,2.805418,0.406248,0.939083,0.886348
0.163857,-0.731393,0.325678,-0.690211,0.276079
-0.341338,-0.510254,-0.512939,-0.428556,-1.204485
0.330541,-1.263841,-0.999269,0.893334,-1.112596
0.724652,0.179508,0.51893,1.150911,-0.719593
-0.718207,0.284297,-0.567902,-1.375211,0.883904
0.677793,-1.25906,0.222888,0.421967,0.985955
0.823803,-0.760801,-0.262423,-1.181415,-0.649729
-0.382001,-0.008324,-0.841939,-0.27563,-0.601699
0.895047,-0.287038,-0.920187,-0.661118,-0.706179
0.046309,1.12147,0.812305,0.881451,1.091169
-0.898954,0.048278,0.008778,-0.285778,-0.406815
-1.297072,-0.421851,-0.642422,0.766892,-0.266892
-0.941873,-1.506158,-0.82805,-0.45403,-0.806247
-0.540484,1.072253,0.856292,1.280735,0.664194
-0.944388,0.340675,-0.2609,-0.401968,0.302576
-0.2481,0.470055,-0.385979,-1.003916,-0.343001
0.547427,-0.201631,0.174978,-0.009304,0.678926
0.582291,0.027444,1.10838,0.859414,0.801927
-0.429113,0.437951,-0.183887,-0.175911,-1.074797
0.315549,-2.080131,-1.05932,-0.931131,-0.689466
-0.52954,0.252609,-0.189306,-0.420262,0.246635
-0.950153,-1.185311,-0.588109,-0.490979,0.598858
1.459456,-0.059912,0.447166,0.251712,0.474608
0.951664,1.242867,1.467867,0.834653,1.004043
-0.136112,1.684948,0.640634,-0.673968,-1.605969
-1.316753,-1.708699,-1.197592,-1.025524,0.444737
0.284232,-0.874589,-0.339593,0.000485,-0.158623
-1.12387,0.171786,-0.398254,-0.828813,-0.309727
