BirthAsphyxia,HypDistrib,HypoxiaInO2,CO2,ChestXray,Grunting,LVHreport,LowerBodyO2,RUQO2,CO2Report,XrayReport,Disease,GruntingReport,Age,LVH,DuctFlow,CardiacMixing,LungParench,LungFlow,Sick
0.163569,-0.581993,-1.050852,-0.515514,0.183152,-0.925422,0.003322,-0.823247,1.142243,-0.04897,-0.307008,-1.195001,-0.974551,0.747888,-0.966371,0.867818,1.409906,-0.729268,-0.722308,-0.366536
0.253496,0.131855,-0.199801,-0.837781,-0.028476,0.884437,0.294303,0.267156,-0.127101,0.116538,-0.032507,0.244257,0.648598,-0.59691,-0.471706,0.219756,-0.649243,0.321316,0.542148,0.56326
1.548093,-0.578311,-0.476063,-0.482224,0.959096,0.098569,0.5132,0.134841,1.040378,-1.418029,-0.734333,1.344007,0.576891,0.848456,-0.646708,-0.822815,-0.720496,0.807534,0.514178,0.573187
1.031034,-0.435457,0.019241,-0.473366,-0.8069,0.836381,0.423154,0.436381,-0.690454,-0.137461,-0.83487,0.591811,0.479581,0.311309,0.371001,-0.742184,-0.824078,0.887306,-0.919859,-0.181776
-1.563295,-0.456668,-0.784786,0.946118,0.654827,-0.399235,0.347845,-0.4629,-0.485344,-0.400423,1.462728,-0.702391,-0.404902,-0.466642,-1.526938,-0.236642,0.735208,-1.116831,-0.412003,-0.793305
1.416667,1.275795,-0.195273,0.364758,-1.237853,0.497487,-0.436988,1.274713,0.190452,0.564885,-0.993806,0.838337,0.872185,0.523237,0.812829,-0.209598,-0.416384,0.488839,-0.251659,-0.616722
1.262356,-0.527612,0.529126,-0.886776,-0.137894,1.307725,0.788316,-0.378117,-0.812607,-0.17335,-0.024943,0.59746,0.171109,0.947123,0.987862,0.717517,-0.19003,0.833888,-0.487098,-0.003076
-0.352423,-0.353655,-0.945262,0.198314,0.512925,-0.448462,0.931087,1.607771,-0.315733,-0.87299,0.244077,-0.82521,-0.632704,0.661117,-0.505859,1.095874,1.475395,-0.307864,-0.427286,0.29122
2.509632,0.071393,-0.547508,0.795952,0.386081,0.110293,-1.131452,1.009649,-0.202588,-0.267248,1.121157,0.899923,0.137455,-0.365923,-0.275622,-0.893589,-0.743001,-0.608688,-0.130157,0.169812
0.533201,0.041922,1.261289,0.158323,0.169117,0.592614,0.414313,0.370269,-0.578045,-0.153718,0.338057,0.034629,0.987882,-1.22953,-0.739029,-0.488729,-0.177853,0.478277,0.173064,-0.617402
-0.425577,-0.14804,-0.147513,-1.030362,-0.630752,-0.110566,0.629253,-0.375836,-0.109102,-1.300668,-0.81617,0.263337,0.195087,0.150473,-1.219203,0.011905,0.1263,0.400821,-0.861752,0.534925
0.280035,-0.362378,0.965728,0.135195,-0.592684,-0.122872,-0.645842,-0.577368,1.102915,0.701098,-0.534426,-0.294593,-0.285604,0.728796,1.021672,0.572837,0.307897,0.691987,-0.039685,-1.043336
1.772198,0.197321,0.483025,0.383544,0.688523,-0.421665,0.003585,-0.951604,0.648649,1.109917,0.830418,0.808005,-0.507223,-0.568236,-1.312026,-0.329677,0.27144,-0.033,0.255199,-0.668331
-0.721443,0.991842,0.314516,0.440301,0.65271,0.988216,-0.599271,0.459216,0.667736,-0.704394,0.599697,0.718932,0.906008,-0.307506,0.78847,0.551847,-0.731834,0.818788,-0.554945,1.034347
0.207311,-0.557447,0.940936,-0.120981,0.647562,-1.333733,-0.884664,-0.524857,0.046464,0.491404,0.353386,0.756416,-0.796281,-0.011297,0.699043,1.182569,0.631301,-1.138478,0.164859,-0.589327
0.882373,0.532077,-0.096976,-1.420253,-0.19906,0.316615,0.983011,0.280935,1.529954,-0.825865,0.130182,-0.071095,-0.230673,0.707928,-0.724567,1.427505,0.759471,-0.150984,1.322752,0.865426
0.954745,0.61818,-0.57626,-0.876351,-1.049906,0.570286,-0.455137,0.928353,-0.567981,0.364857,-0.341352,0.953388,-0.214992,-0.735735,0.432399,-0.556301,-0.47338,1.684813,-0.725494,0.301256
-0.112478,0.080739,0.488555,0.330478,1.195451,0.193913,-0.032482,0.263339,-0.943949,0.607629,0.262716,-0.856517,-0.058772,-0.045486,-0.238,0.524339,1.069408,-0.324518,0.947792,-0.798274
0.04519,0.802126,-1.104985,0.93147,-1.055401,-1.131777,1.024649,-0.032118,-0.851313,0.34957,-0.859293,-0.792784,-0.554273,-0.211365,-0.973006,1.144922,0.71128,-1.038174,-0.982563,-0.05151
1.45043,-0.020498,-0.013728,0.080893,-1.27774,0.444309,0.955636,1.211439,-0.430332,0.175749,-1.059448,0.986004,-0.468361,-0.514498,0.935135,0.428918,-0.234436,0.91638,0.111404,0.881644
-0.84894,-0.335332,-1.009445,-0.982949,-0.252447,1.367834,0.401644,0.643917,-0.155322,-1.075463,-1.030468,-0.22939,1.167896,-0.98111,-1.467728,-0.624368,-0.865643,0.423569,-0.181942,0.190735
0.563006,0.676374,-0.149028,-0.532819,-0.474906,-0.585823,-0.245418,0.748493,-0.255738,0.046564,-0.576142,-0.006768,-0.481508,0.771894,-0.046272,1.34461,0.239109,0.396463,-0.914101,-0.778765
-0.402208,-1.487487,-0.762133,0.871896,0.32326,-0.806573,1.378843,0.024325,-0.611062,-0.362727,0.464124,-0.487364,0.587594,-0.788776,-0.954832,0.613695,0.809405,-0.872986,-0.430042,-0.09239
-0.531592,-0.036476,-1.500049,-0.216867,-0.139049,0.772398,-0.484318,0.481175,-1.276892,0.544495,0.640303,1.305419,0.232906,-0.234703,0.514292,-0.990186,-0.868898,0.598612,0.770015,0.993127
-0.211346,-0.252133,0.308518,0.585376,0.100916,-0.782282,1.806061,0.488906,-1.246108,-0.275175,-0.396365,0.237333,-0.566621,-1.424242,-0.224495,-0.3823,-0.557612,-0.55773,-0.01158,-0.590096
-0.407817,0.172113,-0.789013,-0.44465,0.161977,-0.542765,-0.335152,0.316715,0.252833,0.496114,-0.440169,-0.104787,-0.891414,0.833511,0.021268,0.553511,0.569193,-0.732353,-0.876177,-0.128011
0.253573,1.295488,0.121672,0.602897,0.656614,0.076091,0.393956,0.612374,-0.273096,0.406609,0.597415,0.040798,-0.069111,0.330469,-1.410557,-0.017812,-1.044089,0.467811,0.609614,-0.107442
-1.266661,-0.427877,-1.184171,-0.372003,0.291772,-0.083625,0.434254,-1.094961,-0.483182,0.244351,0.188128,-0.26912,0.049511,-0.355545,0.604611,0.466936,0.47637,0.005192,0.277241,0.003665
-0.502806,-1.189211,1.355244,0.56194,0.589286,-1.599015,0.809884,-0.048692,0.379428,0.234361,0.317111,-1.223351,-0.196133,0.060209,-1.397668,-0.794673,0.977176,-1.212679,-0.643262,-0.148987
-2.026035,-0.52685,-0.605229,-0.672946,-0.200936,-0.563789,0.136493,0.286192,1.262942,1.136591,0.93861,0.261128,-1.547966,-0.80041,-0.144558,0.186426,0.435821,0.869326,1.019593,-1.269823
-2.160223,-0.391749,0.587517,0.636718,-0.674783,0.726319,0.609146,-0.201177,0.056834,-0.5949,0.510575,0.418928,0.498137,-0.771047,0.167057,0.432542,0.048129,0.851327,0.435372,0.097015
0.329558,0.542467,-0.198914,0.095049,0.784608,-0.565663,0.027777,-0.021271,1.315933,0.664433,0.928794,-0.79534,-1.079656,-0.408026,-1.037649,-0.23502,0.052822,-0.387037,0.289186,-0.797567
-0.067278,0.453974,-0.413488,-1.211892,-0.777194,0.495578,-0.83777,0.358686,-0.319949,-1.153486,-0.851804,-0.477683,-0.503182,-0.424579,-0.106891,1.137301,0.315916,0.549938,-0.368462,0.093467
-0.954809,-0.349447,-0.488504,-1.106883,-0.854831,-0.320282,0.443673,-0.7312,0.069414,-1.037548,-0.812041,0.834022,0.098515,-0.470197,-0.394388,-0.120414,-0.088415,1.109509,-1.178867,-0.430395
-0.991251,-0.928781,0.649153,0.548476,0.425372,-0.579889,-0.513718,0.247533,0.184674,-0.773808,0.282909,-0.480949,-0.197323,-0.229133,-0.312966,-0.446756,0.116639,0.114888,0.792036,-0.609281
-0.389123,0.022752,-0.361338,-0.538852,1.564525,-0.339294,0.001648,0.12398,-0.175911,-0.382345,0.056323,0.119487,0.608301,-0.146668,-0.257774,0.595405,0.050872,-0.060157,0.814986,0.678095
1.218024,-0.182723,0.84717,1.027665,-0.043925,-0.480372,-0.583357,-1.24427,0.551298,1.245814,0.363259,1.400503,-0.324151,-0.348056,-0.356091,-1.209462,-0.806002,0.727187,-0.840235,-0.555255
0.715623,0.990848,0.634213,-0.965042,-1.214842,0.643255,-1.11301,0.880618,-0.562184,-1.031734,-0.541964,0.70352,0.751241,0.613265,0.561598,-0.441463,-0.61498,1.674915,-0.244619,-0.618247
-2.233951,0.360018,-0.866609,-0.793507,-0.482227,-0.704334,0.906637,-1.122296,-0.614527,-0.061794,-1.393735,-0.862298,-0.637807,0.489279,-1.294812,1.341344,0.286887,-0.709787,0.258952,-0.364314
-0.296882,0.51218,1.027157,-0.705638,-1.296116,0.33501,0.623595,-1.045255,0.522513,-0.76358,-1.063224,-0.145218,-0.102132,-0.300437,-0.426716,0.467351,0.015617,0.951719,-0.865712,-0.635829
-0.580014,0.542229,-0.390454,0.327208,0.777588,-0.217534,0.635123,1.006531,-0.644838,0.059491,1.032879,-1.168109,-0.424505,0.210735,-0.720567,0.942358,0.582513,-0.504639,0.931363,-0.015251
0.33663,-0.534926,-0.385546,0.130127,0.414711,0.39031,0.138526,-0.408364,-1.297542,-0.716738,0.644371,0.25254,0.804808,1.398396,-0.558803,-1.390353,0.84821,0.041564,0.114779,-0.491492
-0.491022,0.176915,-0.225588,1.341885,0.446626,-0.20361,0.183965,0.586845,-0.017681,0.679398,-0.933213,-1.115922,0.382485,-0.474485,-0.212036,0.695321,0.469424,-0.595179,1.243427,-0.44782
-0.18671,0.263515,0.130634,-0.337762,0.57482,-0.361193,0.180466,0.750615,0.934329,-1.244762,-0.33111,-0.081664,-0.487949,0.204148,-0.898926,1.101524,-1.326403,-0.800692,0.96625,-0.527068
-0.729155,-1.075656,-0.870286,0.886626,0.620128,-0.09904,1.034562,0.560014,-0.29308,0.048412,-0.160943,-1.159793,-0.448696,-0.031012,-0.077644,0.178904,0.819862,-0.95268,0.515029,0.699776
-0.427067,-0.38449,-0.242978,-1.497679,0.795658,-0.458685,1.263018,0.182957,-0.611976,0.185517,0.655468,-0.443659,-0.731856,-0.246108,-0.972755,-0.249648,0.134356,-0.534507,0.696551,0.23237
1.390951,-0.023363,-0.33035,-0.170158,-1.086584,1.067153,1.63418,0.30855,-0.184095,-0.157003,-0.721143,0.90994,0.229951,-1.106382,-1.259049,-0.221761,-0.966501,0.672743,-0.790892,0.596521
-0.654903,-1.122331,1.043351,0.113882,-0.352812,1.095762,0.459891,-0.833497,0.31126,-0.884222,-0.257912,-0.087118,0.278621,-0.926624,-0.615213,-0.500561,0.602992,0.631244,0.45643,-0.344634
-0.519896,-0.580636,0.853591,0.5078,0.208815,-0.544045,-0.864016,-0.494079,0.365627,0.320059,0.11524,0.892529,-0.021231,0.358855,0.405163,0.38389,-0.787904,1.216144,-0.256578,-0.825474
-0.574029,0.740794,-0.22051,-0.316681,-0.894849,0.131944,0.370401,0.507587,-1.2109,-0.478516,-1.18997,-0.750312,0.425896,0.109454,-0.804862,0.831747,-1.155797,1.007963,1.147582,-0.976533
-0.582477,-0.160979,-0.786963,-0.449399,-0.566316,0.341604,0.542305,0.804608,-0.143016,-0.014299,-0.855777,-0.947702,0.023798,-0.816006,-0.435095,-0.376328,-0.296718,-0.225662,-0.358176,-0.531945
-0.641726,0.386752,-1.381818,-0.845352,0.194945,0.077473,0.117638,1.198542,0.596338,-0.908039,0.359815,0.248917,0.182999,0.695204,-0.411669,-0.378467,-0.517482,-0.288456,0.951619,0.408854
-0.314451,-0.320283,-0.504628,0.131836,0.511914,-1.020433,0.698103,-1.825948,-0.095099,0.929585,1.208201,1.454604,-1.731968,-0.777409,0.852303,-0.77464,-0.881598,0.828157,0.219835,-0.197366
0.77527,-0.540352,-0.778218,0.506394,0.688091,-0.759901,-0.984613,1.115939,-0.66048,0.017263,-0.469426,-0.63373,-0.486836,-0.708487,-1.15749,-0.297768,0.557156,-0.46813,1.530692,-0.647932
-1.447937,0.338308,0.084322,-0.215194,-0.338414,0.996961,-0.10034,0.878558,0.278561,-0.639558,0.389779,-0.089005,-1.00651,0.80897,0.455072,-0.764458,0.300139,1.053746,0.286315,-0.716531
0.020547,0.916417,-0.193579,0.867089,0.038603,-1.001321,-0.233894,0.63631,-0.435775,1.834495,0.894945,-0.805326,-0.381664,-1.002659,-0.216358,0.744023,-0.453707,-0.970179,-0.491,-0.649841
1.179118,0.130086,0.045969,-0.643434,0.777779,-1.257173,0.030272,-0.561304,-1.504004,0.052891,-0.82538,-0.078341,-0.618543,0.161876,-0.535078,-0.017486,0.048939,-0.350914,-0.572098,-1.122302
-0.385795,-0.639025,-0.586021,-0.660209,0.87154,1.029902,0.051198,0.806053,-0.315144,-0.597431,0.908839,0.22661,-0.056331,-0.066957,0.837977,0.005981,0.141988,0.104673,0.339381,1.587901
1.879131,0.331029,0.963931,-0.656739,0.709377,1.723614,1.266611,-1.009526,0.39365,-0.809004,-0.678486,-0.206172,1.379498,0.587957,-1.152906,-1.142962,-0.543576,0.910764,1.025018,0.843183
0.505942,-0.640197,0.213324,-0.138805,0.316531,-0.068801,-0.969665,-0.806402,0.384756,-0.990377,1.542944,0.052409,1.232298,0.136066,0.390492,-1.221726,1.239282,0.386083,0.740982,-0.609077
-1.412191,0.221966,-0.948064,0.765213,-0.591168,-0.977872,0.113139,1.343182,-0.24558,0.102669,-0.689606,0.573573,-0.862584,-0.045059,-0.705206,0.550003,-0.897447,0.7088,-0.87076,0.099653
-1.065373,-0.758121,-0.064274,-0.700857,0.229723,-0.300116,0.908319,-0.750935,0.707168,-0.018591,1.317034,-0.074061,-1.758303,-1.291041,-0.906082,-0.401047,0.029738,-0.599098,-0.043832,-0.232427
-0.15653,-0.521159,-0.389665,-1.203679,0.279588,0.534841,-1.530959,-0.648911,-0.552973,-0.699555,0.574679,0.631446,-0.790957,0.979457,1.081331,-0.229354,-0.225203,0.255969,0.133373,0.252297
-0.404208,0.334629,0.229697,0.268653,-0.860247,0.147655,-0.1451,0.796984,0.331472,0.155139,-0.62678,0.175409,-0.175338,-0.609186,-0.270492,-0.35777,-0.774142,0.116891,-1.066682,-0.434042
-1.035571,0.258511,0.171326,1.457765,0.138192,-0.875657,-0.435183,0.100545,-1.325256,0.549461,0.382271,-0.298402,-1.508506,-0.157067,0.972696,0.909229,0.079837,-0.955173,-1.165427,1.113361
-0.362053,-0.04553,0.887671,-0.316851,-0.350959,0.194777,1.038174,-0.477561,1.07813,-0.951807,0.493394,1.323945,-0.42539,0.304126,0.788633,-0.515289,0.115085,0.420305,0.208322,-0.283176
0.740118,-1.273496,-0.980698,0.602741,0.575885,-0.257468,0.326702,-0.57409,-0.623833,0.679373,0.23859,-0.839905,0.201545,-0.738126,0.366195,-0.698848,1.623974,-1.209505,0.31233,0.460461
0.780092,-0.293593,1.585259,-0.086764,0.168025,-0.639847,-0.896312,-0.392212,0.600163,-0.945441,0.457106,0.9477,-0.003899,0.819773,0.81708,-0.795138,-0.139083,0.457868,-0.895552,0.687122
0.179639,-0.366603,0.237224,0.535824,0.925984,-1.023467,0.537837,-0.717345,0.394204,0.70514,-0.447704,-0.274399,0.366862,-1.034266,-0.248826,-0.514704,0.415662,-0.964864,-1.190781,-0.463499
0.377587,0.781866,0.791745,0.021267,-0.011788,1.337796,-0.545139,-0.666306,0.645726,0.256839,-0.722189,0.276775,0.990302,-0.354533,0.58333,-0.199856,-0.159593,-0.37704,-0.48808,1.078475
0.13957,-0.98963,-0.635594,0.135272,0.061737,0.132208,0.173216,-0.901287,-0.266724,0.08148,0.071732,-0.38734,0.871505,-0.292436,-0.08888,-0.815712,0.557452,-0.968984,0.195317,0.638563
-0.194625,0.160951,0.131066,-0.419084,0.158882,1.215383,-0.408576,0.614798,0.188447,-1.151734,-1.266623,0.085561,0.761364,-0.31544,0.532314,0.64721,0.909718,0.202316,1.11474,0.599749
1.339955,1.047034,0.914551,-0.412068,-0.342018,0.833949,0.627794,-0.952923,-0.250135,-0.089307,-0.541954,0.545929,1.237659,-0.862091,0.602769,-0.51887,-0.532596,0.416347,-1.08869,0.018766
-0.601345,1.012071,-0.494399,0.542739,-0.844783,-0.916744,-0.449021,1.470906,1.312057,-0.708318,-1.239396,-1.399948,-1.04266,0.828693,-0.402583,0.94966,0.560713,-0.48371,-0.79191,-0.673704
-0.068939,-0.078528,-0.243145,0.219921,0.986012,-0.26966,-0.635006,-1.081994,-0.67161,0.021545,0.543587,-0.833362,-0.382735,0.458517,-0.383244,-0.450157,1.053965,-1.073673,0.728453,-0.44435
-0.304543,-0.875623,-0.756745,-1.507204,0.375621,0.969161,-0.994184,0.890078,0.621428,0.559685,0.095251,-0.101332,-0.362189,0.408195,0.566978,-0.250141,0.50343,-0.00199,-0.893282,1.171669
0.137752,-0.472337,0.489465,0.294666,0.211069,0.589373,-0.597245,-0.679772,-0.337967,0.448435,0.977961,-0.596178,0.419959,-0.892928,-0.720197,-0.722477,-0.373037,-0.451207,-0.554113,1.264835
1.246787,-1.151084,-0.597353,-0.489786,-0.707859,0.554582,0.473385,-0.651875,0.200741,-1.110029,-0.077059,0.69511,-0.000521,0.677705,0.700181,-0.146594,1.36228,-0.080331,-0.401146,0.188219
0.699387,-0.990497,-0.773425,0.213402,0.281685,-0.928081,-0.452438,-0.624531,-1.096785,0.423592,-0.698072,-0.419247,-1.025178,0.517062,0.134265,0.003583,-0.904994,-0.845205,-0.644659,0.507901
-1.344238,0.804491,0.132281,-1.094244,-0.56188,0.960534,-0.740197,0.340832,-0.602113,-1.187263,0.408942,1.281719,0.676514,1.201323,1.056257,-0.395262,-1.520011,1.83094,-1.18946,1.20046
-1.340199,-0.156913,-1.185349,-0.698367,-0.310278,1.179838,-1.019635,-0.043718,-1.127523,-0.471241,-1.010907,0.474643,0.454965,0.796035,0.473003,0.295913,0.018833,-0.615511,-0.403359,1.220341
0.736311,1.210432,0.260135,0.035212,0.73287,-1.448387,0.274061,0.55926,0.268672,-2.049734,0.471873,0.563832,0.065131,0.477344,0.086654,-1.0553,0.146778,0.504663,0.149327,-0.209086
-1.861828,-0.677781,0.124929,-0.313945,0.760216,0.482186,-0.512979,-0.002913,0.499551,-0.315004,0.182448,-0.675287,0.444132,-0.322204,0.003278,0.072826,0.698231,0.953982,0.936084,-0.243403
0.233424,0.560876,1.289205,0.344043,-0.103835,0.732745,0.151692,-0.200183,0.486025,0.375016,-0.346864,-0.151822,-0.130411,0.344162,0.54588,0.685326,0.739225,0.944287,-0.731727,-0.162715
-0.419172,0.377369,-0.502722,0.121815,0.182543,-0.307825,0.866714,-0.267018,-0.291796,1.275421,-1.079982,-0.428831,-0.661656,0.677632,-0.44478,0.446378,0.603229,-1.143941,1.219759,-0.784439
-1.528243,-1.156657,1.091033,-0.49437,-1.192406,0.811458,0.575494,-0.197079,0.617732,-0.726717,-0.266506,0.084362,-0.040243,-0.613035,-0.810118,0.960585,0.130284,0.68459,0.025833,0.030634
-0.0601,0.359844,-0.959395,1.173714,-0.212496,-0.343252,-0.745876,0.367574,-0.294353,0.682229,-0.169144,0.786873,-0.403824,0.499357,1.250265,-0.104883,-1.236067,-0.193573,-0.651805,-0.233961
0.712247,0.284431,0.275027,-1.258929,-1.192693,0.383425,0.75295,0.6354,0.016774,-0.328617,-1.015026,0.250574,0.263542,0.967983,1.055359,-1.365889,-0.256008,0.190082,-0.728731,0.495902
1.288177,-0.341493,0.029347,0.484404,0.121892,-1.374743,0.416979,-0.649659,0.20625,0.088674,-0.524503,-0.489688,-0.71475,-0.867681,-0.652668,0.231666,0.98354,-0.77372,-0.533264,0.072455
-0.252665,-1.132798,-0.43456,-0.720868,-0.514588,-0.764628,0.414423,0.574919,0.480533,-0.439146,-0.296178,0.123743,-0.651442,-0.454024,0.109428,-0.25653,1.146678,-0.509057,-1.106067,-0.661369
0.237032,0.499459,0.530994,-0.831391,1.000246,0.741412,-0.710204,0.080993,-0.995805,-0.010471,0.595377,-0.012679,0.091306,0.215492,-0.614369,0.894655,0.259711,0.506253,0.778036,0.779609
0.88541,0.517622,-1.233148,-0.785572,1.315994,-0.218916,-0.77438,1.192163,-0.77564,-0.059201,1.075231,-0.316025,-0.86761,-0.900381,0.140054,0.811097,-0.621576,-1.197977,1.184022,0.440934
1.430091,0.563097,-0.315017,0.741221,0.961566,-0.8205,-0.228654,0.322884,0.291421,0.46675,0.057353,0.806681,-0.498911,0.750559,1.513604,-0.335676,-1.062726,-1.305939,0.517356,0.115948
0.677345,-0.367098,-0.266046,-0.906694,-0.954318,0.521594,0.078549,0.539667,-0.141014,-0.908353,-0.776844,0.255867,0.338273,-1.544348,-0.384711,-0.392188,0.493426,0.679333,-0.581693,0.151901
