Virus Enters Upper Respiratory Tract,Upper Respiratory Tract epithelial infection,Infection of olfactory epithelium,Anosmia and/or aguesia,Alveolar epithelial infection,Alveolar endothelial infection,Viremia,Systemic immune/inflammatory response,Pulmonary capillary leakage,Dry cough,Productive cough
-0.804803,0.201242,-0.728498,0.315725,-0.040312,-0.46958,-1.158846,0.416557,0.169181,0.170697,0.738261
-1.195022,-0.540123,-0.617162,-0.787196,-0.999391,0.25972,-0.776582,-0.081074,0.864051,0.948811,-0.950209
0.592159,0.434888,-0.513996,-0.670151,-0.406081,0.461073,0.300787,0.154659,0.661839,0.249327,-0.194615
-0.137672,0.051537,-0.183837,-0.358022,-0.503311,-0.778591,-0.220509,-0.161094,0.048391,0.584796,-0.469216
0.331737,-0.334809,0.602995,-0.425381,0.682197,-1.483336,-0.435096,0.013586,-0.040369,0.042432,0.50927
-0.516298,-1.022669,0.127923,-0.506498,-0.15199,0.540455,0.513042,-0.445281,-0.196682,0.245526,-1.421918
-1.072901,0.693261,-0.659775,-0.393246,-0.680704,-0.212309,0.052961,0.481684,0.410347,0.609611,-0.973814
0.149722,-0.041725,0.622187,0.727304,-0.195925,0.356566,-0.578278,0.327566,0.037268,-1.055739,-0.163672
0.462298,-0.770556,0.534283,-0.534672,-0.099841,-1.090276,-0.825726,0.140058,-0.337625,-0.146327,-0.638841
0.135005,0.951499,0.703144,0.212754,-0.239081,-0.843264,0.669787,0.961931,0.09738,0.782165,0.635971
0.355801,-0.029907,0.485289,0.466404,0.626456,-0.055984,-0.062502,0.221026,-0.345993,-0.054476,0.40785
-1.125517,0.04652,0.275261,-0.272957,0.449191,0.126882,0.850666,0.358947,-0.029966,0.387292,1.029413
-1.068203,-0.068938,-0.304172,-0.719244,-0.572866,1.236565,0.395819,-0.671904,0.961651,0.973823,-0.150574
-1.117583,-0.043814,-0.566732,0.553512,-0.006823,-1.257333,-1.078304,0.766535,0.449691,0.248433,0.790011
-0.435483,-0.410777,-0.528832,-0.394019,0.346262,0.113161,-0.165732,-0.584759,0.460403,1.022474,0.025148
-0.480633,-0.995863,-0.708406,-0.286181,0.189304,0.913099,-0.536785,-1.216498,-0.691092,-0.825018,1.060265
-1.159706,-1.252583,-0.569099,0.174696,0.142844,0.579479,0.172222,-1.076731,0.689257,-0.533467,-0.405078
1.239806,0.779787,0.133693,-0.433827,0.639076,-0.86439,0.293145,0.416183,-0.349407,0.416428,0.136324
1.118246,0.093217,0.6672,0.272686,0.850598,0.510491,-0.251967,-0.601978,-0.502091,0.653557,0.94619
0.946226,0.284202,-0.546001,-0.658692,-0.390606,0.381979,0.343581,-0.275696,0.6421,0.67358,-0.956401
-1.135183,-1.29728,-1.116329,-0.697601,0.121601,-0.081582,-0.201636,-1.169749,-0.805612,-0.794268,0.493861
-0.322929,1.106901,0.400869,-0.034955,-0.337349,1.033029,-0.127138,0.175828,0.239308,1.124369,0.328701
0.059123,-0.357188,0.369377,1.248043,-0.055782,0.832784,-0.575068,0.185298,1.245371,-1.5935,-0.125992
-0.219497,0.85617,-0.080077,-0.982025,-0.124782,-0.932116,0.572267,0.86763,0.271332,0.906654,-0.441782
0.253054,-0.569415,0.552433,0.614735,-0.680683,1.117839,-0.411893,-0.202118,1.528248,0.954009,-0.709736
-1.637233,-0.373321,0.784243,0.95644,-0.593993,-0.127376,-0.17563,0.659152,1.161784,-0.695086,-0.445107
-0.133578,0.866051,0.858545,0.646598,-1.280467,0.548277,0.479974,0.646697,1.600415,-0.758508,-0.79972
0.571326,0.085673,-0.346395,0.498604,-1.064875,0.94977,-0.131242,-0.354138,0.176331,0.25943,-0.92873
0.06005,0.561883,0.001264,-0.968081,-0.32965,0.571122,1.080733,1.061126,0.536641,1.460653,0.094602
0.099338,0.867034,0.003675,-1.087813,0.218017,-1.449601,-0.236911,0.926907,-0.193674,0.227273,1.595396
0.829051,-0.682427,0.766216,-0.472506,1.020626,-0.620085,0.034975,0.886007,-0.656671,-0.668996,0.997587
1.138054,-0.135163,0.272563,-1.146226,-0.610132,-0.344859,0.307172,-0.111152,0.68954,0.436886,-0.699716
-0.289141,-0.217599,-0.078371,0.285258,-0.758133,1.12447,1.474377,-1.129359,0.472502,0.774357,-0.609811
0.019611,0.160651,0.773811,0.735949,0.788551,0.173598,-0.372534,0.137358,-0.72356,-0.235387,0.784745
-1.300262,-0.927513,0.082334,-1.276222,1.066153,-1.000843,-0.139941,0.075596,0.0973,-0.074913,-0.165936
-1.125326,-1.410366,-0.583182,-0.292635,-0.153076,-0.533601,-1.005681,0.413064,-0.180253,0.251221,0.426006
0.438053,1.144579,1.016351,0.79062,-0.279311,0.719279,0.474908,0.018784,1.11036,0.325497,-1.452622
