Burglary,Earthquake,Alarm,JohnCalls,Marycalls
-0.942082,1.352336,0.555797,-0.999439,0.44
0.234899,-0.485718,0.963558,-0.492112,-0.507072
2.672414,-0.19158,-1.224902,-1.038761,-0.25969
-0.159127,-1.057966,-0.638231,0.397287,-0.734487
1.575296,0.651187,-0.699742,-0.986085,0.055064
0.427873,-0.624758,-0.834386,0.093682,-0.975394
0.862227,0.622755,0.102725,-0.282595,0.016933
0.002191,1.064227,0.534657,0.073937,-0.388963
-1.206412,2.206479,1.043604,-0.245583,-0.214333
0.319302,-0.714711,-0.912983,-1.404071,-0.637053
1.13805,0.818185,-1.401232,-0.554846,-0.856669
0.687495,0.330783,0.165227,-0.265397,-0.056333
-0.640791,0.469377,0.435052,0.237808,-0.369521
1.292808,0.895958,0.463798,-0.537305,0.201925
-1.442296,1.703751,0.740724,-0.974112,-0.326557
0.049822,0.217852,0.315071,-0.080154,-0.46806
0.249566,0.964202,-0.412627,1.397266,-0.007886
-0.381309,0.97138,1.305419,0.935045,-0.187379
-0.185451,-1.059276,-0.124753,0.125285,-0.165842
-1.460384,-0.869614,0.925895,0.988201,-0.710501
-0.461198,-0.132881,-0.169671,0.152632,-0.588765
-0.199761,-0.211364,-0.924497,-0.557917,-0.810511
0.009942,-1.135691,0.648715,0.967701,-0.048437
0.451521,0.892996,0.302151,0.741143,0.393489
-0.887482,1.690486,0.597988,-0.019438,0.011107
-1.567641,-0.07786,0.324875,0.370244,-0.157086
-0.22758,1.258387,0.988267,0.763566,-0.35375
0.717456,0.036675,-0.955683,-0.901824,0.018419
-0.224549,-1.319785,0.015037,-0.707918,-0.203183
-0.848831,-0.140384,-1.057589,0.428002,-0.727593
-2.885949,1.060517,0.97455,1.3876,0.791914
-0.115043,0.228597,0.689647,-0.284712,1.111289
-0.081591,0.040922,-1.134301,-0.493155,-0.973022
0.610859,-0.07208,0.141697,0.246776,0.411565
1.793861,-0.352934,-1.156647,-0.205217,0.852468
-1.047975,0.252672,0.2438,0.053779,-0.046297
1.282224,0.027148,0.766499,0.440286,0.403521
-0.145516,-1.83886,-0.097438,-0.526096,0.00693
-1.209472,-0.167484,0.581222,0.328419,0.420378
-0.787386,0.747475,-0.234801,0.686251,-0.065286
-1.085428,-0.124029,0.942799,1.577616,-0.05575
2.041001,-0.012459,-0.129336,-0.121851,-0.059041
-0.406412,0.4453,0.607648,0.860732,0.973194
-0.308788,0.978353,0.928372,0.149744,0.672592
-0.044574,-0.855214,-0.709342,-0.741022,-1.518655
-1.666896,-0.126972,0.303533,0.36846,-0.354126
-0.828668,-0.011402,0.583529,-0.346748,-0.809609
-0.187658,-0.917432,-0.808928,-0.992014,-0.799416
0.175184,-0.556671,-0.09993,-1.150212,1.055831
-0.158126,1.032068,1.520337,0.924937,-0.028531
0.760273,1.378929,-0.669011,-0.834558,0.632026
3.141617,0.121171,-1.015211,-0.710898,-1.440861
-0.778451,-0.294102,-0.3442,-0.009508,0.124
0.44461,0.862341,0.295903,0.988503,-0.314105
-0.36143,1.511589,-0.365284,0.222073,0.178811
0.253292,0.123246,1.0963,0.837452,1.039568
-0.940766,-0.90171,-0.236285,-0.284239,-1.097555
-0.541787,-0.062676,0.665144,0.363921,0.783212
-1.113902,0.380101,0.722539,-0.610842,0.611212
0.47549,0.621169,0.339867,-0.583054,0.590136
-0.126023,-0.105345,-0.128823,-0.300425,0.157304
-1.014582,-0.42024,0.134504,0.320278,-0.87419
-0.793417,0.246982,0.515203,-0.469509,1.000306
0.326593,0.345017,-0.757139,-0.597255,-0.334267
-0.690186,-2.370848,-0.726828,-1.273844,0.034913
-0.483029,0.240729,-0.02315,-0.084688,0.677841
1.997879,2.044423,0.003655,-0.339053,-0.00137
0.73761,-1.939197,-0.815876,-0.914387,-0.302477
0.394616,-0.896278,-0.730608,0.738271,-0.737774
0.024003,-0.315851,-0.54969,-0.338659,0.007939
-0.761701,-0.966174,0.212099,-0.75941,-0.279985
-0.840007,-0.187837,0.590118,1.143025,-0.640641
-2.281885,1.451282,1.089485,0.427478,0.739713
-0.087829,-0.877603,-0.467594,-1.287588,-0.352768
-1.570184,1.344575,0.932655,0.440524,0.656609
0.566274,-1.067487,-0.481261,-0.693403,0.991846
-1.621468,1.203133,0.976581,1.20605,0.073295
-0.110183,1.062406,-1.106094,0.832691,-1.317988
0.088669,-0.034135,0.692986,-0.473106,-1.041573
-0.1489,-0.858893,0.990664,1.252938,0.066207
-0.43682,0.451539,-0.794054,0.833383,-0.875055
1.829753,0.961373,-0.92686,0.170799,-0.495467
-0.920416,-0.940943,-0.949704,0.57571,-0.123181
1.106709,1.817679,0.008492,0.123578,0.974378
0.126207,4.646952,1.487142,1.144822,1.200822
0.493356,-0.753261,-0.043143,0.164858,1.09263
1.932208,-0.755761,-1.056604,-1.245227,-1.151876
-0.453253,-0.202719,0.833262,-0.218881,0.810362
0.407571,-1.629998,-0.405924,-1.221278,0.158709
-0.198999,-0.74361,-0.815514,-1.468686,-1.187956
-0.604457,0.22719,0.328819,-0.081948,0.329899
1.700426,1.531633,-0.983537,-0.561317,-0.130925
0.673416,-0.194071,-0.411993,0.269856,-1.084639
-1.564732,0.718027,0.426421,0.711176,0.336816
2.880658,-0.255776,-0.963383,-0.92003,-0.416634
-0.667965,0.557035,0.215653,0.51331,-0.120443
0.835488,-1.129808,-0.973533,-0.439702,-0.24893
0.676975,-0.188286,-0.550146,0.363034,0.16051
-0.623216,-0.011807,0.320489,0.561698,0.649381
-0.409108,-0.123014,1.111587,1.520839,-0.741185
-0.136493,0.869677,1.393851,0.78783,0.876914
-0.078026,0.307105,1.26177,0.792287,-0.718162
-0.595723,-0.952698,-0.873428,0.371867,-1.138203
0.030987,2.343711,0.197974,0.113386,0.60507
-0.839482,-0.313863,-0.589949,0.136003,0.113578
-0.933649,1.289652,0.513872,0.373241,0.703967
-1.154869,0.840476,1.064347,0.847864,-0.486596
-0.956351,-0.875662,-0.846281,0.259417,-0.622769
-0.865232,0.158063,-0.169418,-0.830554,-0.109213
1.117998,0.567233,-0.45468,-0.698415,-0.526154
1.292942,-0.636258,-0.981561,-0.909466,-1.000236
1.383559,0.399507,-0.193667,1.023635,-0.577032
1.675557,1.43111,0.230922,0.990921,0.68949
-0.125354,-2.528497,-1.993774,-1.250386,-0.484436
-0.837904,-0.135587,0.683598,1.011869,-0.044721
-0.615685,-0.072081,-0.080471,0.724485,-0.824305
-0.036352,1.473241,0.024015,0.105834,0.168473
-0.741783,-0.880126,-0.550671,-0.038842,-0.755686
-0.676522,0.038243,1.03642,0.530236,0.640747
1.027637,2.350378,1.453492,1.595197,1.145468
0.314302,0.047821,-0.501088,-1.148721,-0.224929
-0.116981,0.970245,0.446962,-0.684683,0.597544
0.404253,-0.579175,0.571428,0.8011,0.361989
1.171657,-1.22768,-0.294488,-0.44449,-0.305891
-0.421086,-0.089856,0.234839,-0.182338,0.289975
-0.460996,-1.218836,-0.700812,-0.014793,0.265443
0.49122,-0.230359,-0.212311,0.240074,-0.173668
0.25101,-1.64667,-0.945956,-1.468864,-0.128719
1.215803,2.496082,1.067845,0.640345,0.655039
-0.950656,0.98098,-0.45289,-0.81972,0.789738
1.285354,-1.135901,-0.255645,0.34875,0.158653
-1.452314,-1.375783,-0.550122,-0.242067,-0.649402
-1.135342,0.536203,0.800722,-0.24631,-0.25175
0.459492,0.200465,0.179894,0.924203,-0.875811
-1.073676,-0.551706,1.188355,0.700228,1.424704
0.751305,-0.006448,-0.178741,-1.260023,0.421179
-1.024066,-2.096735,-0.413313,0.276458,-0.341717
-0.935398,0.108937,-0.264054,-0.700355,-0.750185
0.086607,0.121388,0.804079,0.228493,-0.27068
1.32075,0.927949,-0.843253,-0.450184,0.984784
-1.672756,1.257714,0.020654,0.06157,0.907185
-1.382404,-0.117004,0.238681,0.287172,0.521023
-0.052128,-0.433204,1.190537,-0.233532,0.340969
2.184176,1.341275,0.11325,-0.058995,0.521207
1.467622,-0.205218,-0.286056,-0.332415,-0.589882
-0.103428,0.35771,-0.214937,0.564937,-0.713664
-0.448802,0.022552,0.312482,-0.786322,0.331717
-1.111163,-0.265724,-0.088288,-0.271906,0.898354
2.139313,0.84798,-0.755756,-0.396186,0.626726
-0.471198,-0.812701,-0.666396,-0.244938,-0.941488
0.740866,1.068982,0.255416,-1.117146,-0.213324
0.178556,-0.026721,0.412,-0.870212,1.202869
-0.620639,0.218369,-0.171461,0.182386,1.017521
-1.974761,-0.851124,0.820104,0.652966,0.300378
0.678126,0.93901,-0.920548,-0.825812,-0.973458
-0.050395,-1.906324,0.819807,0.648825,1.466508
-0.868182,0.529115,0.545087,0.270711,-0.086419
-0.008703,-0.119052,-0.360062,0.707432,-1.03752
-0.090959,-0.198505,-0.328253,-0.591647,-0.046365
1.270079,0.225101,0.585352,0.173277,1.059115
-0.537848,0.81046,0.698792,0.238929,0.969453
-0.415383,-0.272621,-0.396046,1.367491,1.571212
-0.220383,-0.359466,-0.26956,-0.295626,-0.126374
0.476951,1.966976,0.084263,-0.535576,-1.159112
0.235907,-0.169317,0.585224,0.133347,0.423133
-1.477547,0.314679,0.089966,0.184898,0.31505
-0.534468,-1.503169,-0.799759,0.291033,-0.5089
1.271343,-0.969804,0.18008,0.197864,0.898542
-1.097329,0.065607,0.34229,0.541529,-0.197341
0.794507,0.952936,0.828082,0.319528,0.614509
0.602892,-1.509037,-0.155299,-0.15646,-0.05992
1.79091,-0.958162,-0.951844,-0.346575,-0.760101
0.72783,-0.428213,0.04632,1.039314,0.750781
-0.270549,-0.336049,-0.027052,-0.413804,-0.540531
0.395713,1.587867,-0.108967,1.101046,1.376779
-1.071197,-0.55529,-0.890634,-0.070478,-0.350743
-0.293083,1.202791,0.481586,0.021367,0.696182
-0.242669,1.661111,0.379492,0.393066,-0.743529
-0.966381,-1.137188,-0.104958,-0.910494,0.107331
