GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
0.623321,-0.352053,-1.31637,0.135533,0.027894,0.774235,0.706483,0.334508,-0.836004,0.577616,-0.405859,-0.268121,-0.269844,1.029734,0.680229,0.673972,0.203781,0.728568,0.757756,0.989801,0.476926,-0.849312,0.402298,0.292648,0.237545,-0.850738,0.179387
-1.007961,-0.462034,0.339825,-0.396137,0.650592,-0.852445,0.236248,-0.027881,0.196079,0.480567,0.405393,0.562977,-1.313052,-0.956527,-0.234668,0.994788,-0.341991,0.655314,-0.848992,-0.352013,0.499943,0.06118,-0.517526,-0.569872,-0.071054,-0.299828,-0.853602
-0.535814,-0.687026,0.700038,-0.233915,-0.119589,-0.41201,-0.306474,0.102125,0.207857,1.206973,-0.118533,0.6943,0.110664,0.382423,0.466604,-0.113145,1.151562,1.205035,0.390199,-0.425062,-0.951388,0.118206,0.597602,0.141967,-0.833954,-0.908969,-1.255141
-0.528349,0.542322,-0.033575,-0.786058,-0.572669,0.153058,-0.111742,-0.523589,-0.314106,-0.500659,-0.86181,0.159493,0.766368,-0.656688,-0.476891,-0.321105,-0.096757,-0.97242,-0.774401,-0.709614,-0.095838,0.337766,1.162027,0.635373,0.821869,-1.083938,-0.495709
0.3196,-0.246248,-1.041917,-0.202689,0.110378,0.926931,0.607604,1.206071,-0.65654,0.470809,-0.82611,0.584486,-0.739702,-0.055463,0.94685,0.869857,0.888427,0.668649,-0.119145,1.185422,0.753316,0.90543,-0.482356,1.151842,1.238981,0.098689,-0.099688
0.03849,-0.870417,-1.20394,-0.459129,0.308228,-0.001431,-0.229243,-0.05201,-1.05017,0.979621,-0.697942,-0.163067,-1.062355,0.290221,-0.070434,-0.397182,0.532769,-0.095739,-1.051927,-0.640308,-0.530247,-0.845615,-0.638563,0.656299,0.633041,-0.175112,-0.903996
-0.102564,-0.129496,-1.542728,-0.473961,-0.209617,0.523044,-0.453977,0.629518,-0.462831,0.75102,-0.010568,-0.134376,-0.303329,-0.939925,0.431528,-0.27825,0.246924,0.733599,-0.532215,1.250782,0.36386,-1.292078,-0.130342,0.050041,0.268539,0.826503,-0.014139
0.518571,-1.098465,-1.319491,-0.501268,-0.038321,-0.301968,0.331537,0.180771,-1.459891,0.822244,-1.127617,-0.765188,-0.845509,0.502587,1.001999,-0.159865,0.442342,0.207666,-0.026723,0.603371,-0.230344,0.081996,-0.724324,0.145925,0.150093,-0.748545,-0.255743
0.202611,-1.166055,-1.099367,-1.3166,-0.338961,-0.7516,-0.126677,-0.226858,-0.600264,0.526413,-0.771499,0.08706,-0.181107,0.980138,1.705666,1.452357,0.487325,1.147447,-0.861357,-0.366325,0.061436,0.127937,-0.706688,0.801044,0.436057,-0.786448,-0.071212
0.519648,0.234775,-0.325903,0.716662,0.46285,0.28214,-0.711008,-0.658214,0.649159,-0.877242,0.098305,0.780582,0.767707,-0.243801,-0.558182,-0.374128,-0.177494,-0.74221,0.087474,-0.346831,-0.588947,0.193604,0.647651,0.218727,-0.516962,-0.407145,0.004496
