node,description,in_raw_node_list
DLS C6-C7,,true
L C7,,true
R C7,,true
L Neck problems,,true
neck pain,,true
R neck,,true
L Shoulder problems,,true
L Shoulder trouble,,true
R Shoulder problems,,true
R Shoulder trouble,,true
L Elbow problems,,true
R Elbow trouble,,true
L Arm,,true
L Wrist problems,,true
R Wrist problems,,true
L lower arm disorders,,true
R lower arm disorders,,true
L Hand problems,,true
R Hand problems,,true
L bend of arm problems,,true
R Armband,,true
R bend of arm discomfort,,true
L Medial elbow problems,,true
R Medial elbow problems,,true
L Finger trouble,,true
R Finger trouble,,true
