DLS C6-C7,L C7,R C7,L Neck problems,neck pain,R neck,L Shoulder problems,L Shoulder trouble,R Shoulder problems,R Shoulder trouble,L Elbow problems,R Elbow trouble,L Arm,L Wrist problems,R Wrist problems,L lower arm disorders,R lower arm disorders,L Hand problems,R Hand problems,L bend of arm problems,R Armband,R bend of arm discomfort,L Medial elbow problems,R Medial elbow problems,L Finger trouble,R Finger trouble
0.805844,0.268225,0.152497,-1.634904,-0.787163,0.059232,-0.922777,-0.362235,0.042387,-0.662652,0.384646,0.865417,-0.221434,0.956906,0.423296,-0.294875,0.385842,1.244232,-0.661367,-0.719839,-0.604451,0.923501,0.762691,0.628443,-0.218413,-0.319251
0.596329,0.702401,0.689718,-0.824738,0.370675,-0.185011,0.930015,0.141199,-0.743061,-0.861303,-1.315452,-0.731456,-0.784725,1.180263,-0.937898,0.862373,0.863726,0.992942,0.85414,0.92926,-0.509575,-0.195087,-0.349297,-0.472053,0.543434,0.844605
-0.170277,0.475266,-1.181679,-1.75022,0.300255,0.562548,0.346734,-0.069682,-0.543384,0.834667,-0.285343,0.655289,-0.244863,-1.162708,0.860895,-1.637482,-0.675265,0.344978,0.851107,-0.332817,-0.806161,0.854451,-0.55196,-0.094585,-0.303117,-0.846196
1.773628,0.285847,-0.784019,0.139437,0.528518,-0.41866,0.120081,-0.580483,-0.044379,-0.083405,-0.34515,-0.199301,-0.348574,0.683795,0.659822,-0.421322,0.057362,0.159988,0.107114,-0.775031,-0.537674,0.862126,0.355098,-0.469823,-0.966919,0.526591
-0.305069,-0.311962,0.00018,-0.008755,-1.475503,0.370104,0.218674,-0.63952,-1.12361,0.055307,0.530318,-0.49921,0.570642,-0.266322,-0.099621,0.094064,-0.102981,1.217536,-0.171958,0.079059,-0.475557,0.59737,0.321748,-0.955535,-0.670553,0.70826
-0.107241,-0.72322,1.054038,0.697462,-0.706586,1.873005,1.081726,-0.363655,0.181001,0.429855,1.139045,-0.117052,1.173323,-1.100414,-0.229499,0.537325,0.952203,0.224756,-0.079231,0.725409,1.138003,-0.862627,-0.735446,-0.404962,-0.359569,-0.370602
-1.078186,-0.092022,-0.824718,0.789655,0.709124,-0.310504,0.124557,-0.128568,-0.756452,0.470097,-0.192993,-0.994509,0.516644,0.457372,0.112987,-0.250308,-0.804818,-0.385034,0.732955,-0.653151,-0.551711,0.937741,-1.190378,-0.198178,-0.125721,0.032283
-1.350536,0.757608,-0.061452,-1.021344,-0.241548,-0.357666,0.806216,-0.490487,-0.582058,0.080386,-0.604646,0.656401,0.268588,-0.050583,0.887241,0.225413,-1.27675,-0.702246,-0.016378,1.273788,0.644524,0.734294,-0.995639,-0.116837,0.589711,0.690991
-2.736863,1.372384,-0.747172,-1.324501,1.538664,-0.48922,0.111234,-0.209758,0.001502,0.468443,-1.167142,0.31164,-0.368243,0.226914,-0.074964,1.001714,-0.767032,1.133596,0.745534,-0.123698,-0.457768,0.689951,0.602257,-1.505601,0.030883,0.223819
0.978285,0.205238,1.693549,-1.085953,-0.404802,1.06286,-1.032613,-0.589355,0.811994,-0.108845,0.783479,-0.336473,0.844952,-1.23448,-0.537026,-0.092307,1.078426,0.143393,-1.006379,-0.493446,0.350928,-1.149853,0.802561,0.608414,0.476335,1.016693
