source,target
discoligment injury C6-C7,left C7
discoligment injury C6-C7,right C7
left C7,left elbow problem
left C7,left arm
left C7,left neck problems
left C7,neck pain
left C7,left shoulder problem
left C7,left finger trouble
left C7,left shoulder trouble
left C7,left wrist problems
left C7,left medival elbow problems
left C7,left hand problem
left C7,left bend of arm problem
left C7,left lower arm disorders
right C7,neck pain
right C7,left medival elbow problems
right C7,right arm band
right C7,right elbow trouble
right C7,right hand problem
right C7,right wrist problem
right C7,right neck
right C7,right shoulder problem
right C7,right shoulder trouble
right C7,right finger trouble
right C7,right lower arm disorders
