node,description,in_raw_node_list
right C7,,true
right elbow trouble,,true
left shoulder trouble,,true
left bend of arm problem,,true
right shoulder trouble,,true
right hand problem,,true
left medival elbow problems,,true
right finger trouble,,true
left neck problems,,true
left wrist problems,,true
left shoulder problem,,true
right neck,,true
right wrist problem,,true
right shoulder problem,,true
discoligment injury C6-C7,,true
left hand problem,,true
left C7,,true
right arm band,,true
left lower arm disorders,,true
neck pain,,true
left finger trouble,,true
left arm,,true
left elbow problem,,false
right lower arm disorders,,false
