right C7,right elbow trouble,left shoulder trouble,left bend of arm problem,right shoulder trouble,right hand problem,left medival elbow problems,right finger trouble,left neck problems,left wrist problems,left shoulder problem,right neck,right wrist problem,right shoulder problem,discoligment injury C6-C7,left hand problem,left C7,right arm band,left lower arm disorders,neck pain,left finger trouble,left arm,left elbow problem,right lower arm disorders
-1.231861,-0.441076,0.185489,0.719296,-1.586962,0.294922,-0.614724,-0.185798,-0.742696,-0.149635,-0.082965,0.462985,-0.9504,0.556361,-0.121223,-0.272289,0.290858,0.338409,1.2333,-0.217408,-0.94506,0.85352,0.889284,-0.690448
0.416498,-1.198997,-0.065301,-0.314955,0.492447,-1.152984,0.538603,0.067871,0.432716,-0.57595,-0.859014,-0.337886,-0.130981,0.817578,-0.121485,0.330053,-0.194736,0.367529,-0.192796,0.222848,-0.460336,0.524219,-0.75963,0.709925
-1.097842,-0.484479,-1.165971,-0.709843,-0.542491,0.101033,-0.456392,-0.580356,0.486855,-0.970716,0.457099,-0.017577,1.527185,0.384176,-2.019853,-0.04593,-0.790806,1.321895,-0.316453,-0.172442,0.319217,-0.930533,-1.468868,-0.159105
0.637583,-0.032,1.028913,1.343441,0.558668,-1.209959,-0.588403,1.311972,0.065646,0.941804,-0.614109,-0.346705,0.764397,0.368436,0.010848,-0.394049,1.00125,-0.429753,1.12101,0.458183,-0.884592,1.354561,0.399324,0.378054
0.970894,-0.858406,1.131018,0.444798,0.613027,-0.607328,0.532436,0.423662,0.125866,-0.485513,-0.274421,-0.869887,-1.665762,0.74147,1.855615,1.050292,1.124308,-0.625944,0.144527,0.580711,0.630563,0.591096,1.232072,-0.281454
1.215815,0.41489,-2.304899,-0.436857,1.516905,0.112776,0.807353,0.758211,-0.297715,0.866332,0.386675,-0.704548,-0.45255,0.6153,0.863523,0.540933,-0.649787,-0.754906,-0.266375,0.396244,0.711386,-0.867583,-0.193272,1.312946
0.421188,-1.297168,0.678264,-0.244388,-0.973951,-1.298455,0.035867,0.893202,0.167814,-0.080457,-0.230196,-0.160378,-0.675694,-0.384009,0.441022,0.155217,-0.491412,-0.462839,0.575832,0.139519,0.414911,-1.292343,-0.428003,0.277613
-0.487734,-0.214561,0.587163,-0.040188,-0.411243,0.629748,-0.018805,-0.675689,0.973861,0.785856,0.516053,-0.677785,0.41047,-0.225204,-1.049451,0.263079,-0.371558,-0.689667,1.225608,0.792427,-0.583728,0.078141,0.152047,0.723354
1.363389,1.040001,0.044569,0.933437,0.830402,-0.699109,0.429463,1.054251,-0.649869,0.02837,-0.199769,-0.825222,-0.522456,-0.75412,1.961731,0.450714,0.040595,-1.301186,0.850949,0.708991,0.064238,0.320557,-0.170819,-0.502335
1.874136,0.851825,1.075985,0.3625,0.339584,-1.173691,-0.028328,0.556335,-1.480236,-0.125833,0.716021,-1.278571,0.406455,0.85317,0.756251,0.451319,-0.078489,-0.751298,-1.179682,-0.388353,-0.367842,-0.758577,0.767027,0.141994
0.21277,0.470266,-0.605832,-0.051132,1.690095,-1.177757,0.94406,-0.531932,-0.679525,0.279961,-0.735304,0.45688,-0.857826,1.183752,-0.026967,-0.458094,0.471194,0.442302,-0.137114,0.117754,-0.627285,0.297917,-0.418914,0.211365
