Age,Sex,Education,Occupation,Residence,Travel
-1.291754,-1.01991,-0.025837,-0.232713,1.443014,-1.050797
-0.202497,0.212259,-0.577604,-0.17196,-1.208849,0.399541
1.045528,-2.435641,-1.615028,-1.533461,-0.763781,-0.05693
0.482119,-0.294666,-0.528233,-1.040499,-0.622176,-0.434309
-2.141776,-0.863219,-0.446601,-0.763565,0.606434,-1.307887
-0.24062,-1.328681,0.886283,0.90371,1.18171,-0.264639
-0.163435,0.131148,-1.205928,0.192335,0.093515,0.399014
0.049009,-2.253302,-0.116189,0.269054,-0.419648,0.235557
0.329904,-0.155624,0.418414,0.754997,0.93551,-0.352863
-0.281041,-0.471137,-0.06137,0.697178,-0.022155,0.141227
1.667837,-0.375956,0.660958,0.594795,-0.810694,0.309482
0.255302,-0.917416,0.614469,-0.321454,0.9959,-0.720004
-0.968525,-0.729005,-0.315358,-0.814366,-0.383884,-0.480043
-1.273884,-0.354772,-0.279203,-0.540979,-0.155346,-0.529421
-1.247818,1.028508,0.613761,0.390242,0.063395,0.782285
0.681574,-1.420694,-0.240788,0.075389,0.675128,-0.700109
-1.234994,1.632915,0.78845,1.173397,0.909589,0.329501
0.358483,-0.350704,0.385826,0.504487,0.934324,-0.197536
-0.509724,-0.255841,0.195565,1.162242,1.554677,0.438535
1.075399,-0.251016,-0.103782,0.243368,0.909677,-0.137585
0.584578,0.708735,0.36731,0.170668,-0.0544,0.739262
-0.85612,-0.783726,-0.759078,-0.750852,-0.129409,-1.095593
-0.009492,0.286596,0.094957,-0.828374,-0.507656,1.054497
0.043698,-1.443604,-0.046975,0.750723,-0.157536,1.092299
-0.518959,-1.517246,-0.355789,-0.702355,-0.513745,-0.129943
-0.648122,-1.324363,-0.989591,-1.066461,0.90358,-1.28856
0.724652,0.179508,0.51893,1.150911,-0.719593,0.568642
-0.551726,-0.437419,-1.34717,0.299953,-0.917252,1.045471
-0.353311,1.513914,0.992515,0.641578,0.600493,-1.145723
-0.91832,0.290666,-0.357408,-1.005538,0.133751,-0.542016
0.895047,-0.287038,-0.920187,-0.661118,-0.706179,0.512132
1.150198,-0.213037,0.462789,0.883333,-0.343166,0.646679
-1.880005,1.798673,0.023419,-0.933824,-0.035104,0.700047
0.445155,-0.349279,-1.151369,-0.832877,-0.55119,-0.336576
-0.540484,1.072253,0.856292,1.280735,0.664194,-0.277262
-1.066831,1.215802,0.155459,0.638122,0.082969,-0.283593
-1.158326,-0.415526,-0.57014,-0.090419,-0.279687,0.011302
0.217984,1.049368,0.775616,1.242382,0.766887,0.336558
-0.429113,0.437951,-0.183887,-0.175911,-1.074797,-0.073823
-1.113518,-0.329447,-0.77372,-0.681179,-0.698586,-0.129349
0.15731,-1.12371,-0.154675,-1.141201,-0.250956,-0.464069
1.491108,-0.13675,0.858276,0.737575,0.327184,0.310554
0.951664,1.242867,1.467867,0.834653,1.004043,0.321506
0.363866,-0.44056,-0.686869,-1.744289,-1.526856,-0.492361
-1.167039,-0.181411,0.891156,0.447363,0.628571,0.094833
0.101301,0.079569,-0.565953,-0.612985,-0.886223,0.209372
1.073645,-0.081228,0.356966,-0.151254,0.215061,0.042325
-0.466622,-0.524463,-0.98047,-0.455724,-0.576571,0.109015
-0.900473,0.299232,-0.73383,0.005725,-1.207785,-0.107009
0.265363,-1.923419,-0.104904,0.326939,-0.032551,1.360298
-0.765768,0.43014,-0.305239,0.204582,-0.220178,1.096546
0.614926,-0.186741,0.245406,0.484814,-0.067551,-0.344547
2.264191,-0.1093,0.188319,0.368258,0.417305,0.576293
-0.279489,0.677573,0.138772,0.26522,-0.635945,-0.37641
0.861594,0.135233,0.692348,0.987136,0.078665,0.073673
-1.010684,2.011286,0.054981,0.586627,0.059527,0.145386
0.434241,-0.547803,0.307348,0.003292,0.460067,-0.425275
-0.999534,0.256255,-1.117476,-0.659861,-0.916255,0.250923
-0.961395,0.278663,0.261354,-0.26353,-0.143097,-0.888454
-1.245437,0.051641,-0.725155,-0.945707,-0.268793,0.656935
-0.46437,0.652024,-0.117761,0.632436,-0.445591,0.68682
0.0627,0.468495,0.298138,1.152706,0.933739,-1.061982
0.117689,-0.052108,0.674612,-0.224369,0.145794,0.768683
0.451574,-0.261163,-0.884998,-0.291771,0.218982,-0.400462
0.274593,2.124527,0.606082,0.531727,-0.759414,0.630865
1.140051,-0.408502,0.237624,0.36229,0.108435,-0.132359
1.659601,-0.944717,0.991105,0.533325,0.709193,-0.358413
1.828967,0.681034,1.309107,0.792518,0.993534,0.355555
-0.472105,0.539933,1.056255,-0.328895,0.393585,-0.897655
-1.686692,-1.083543,-0.854941,-1.275119,-1.333847,0.348462
-0.30325,0.638439,-0.732324,-0.773932,-0.197709,0.182958
0.492394,-1.113452,-0.872802,-0.83958,0.418918,0.104138
0.472664,-1.261631,-0.997671,-0.324404,-0.765258,0.609737
1.249938,1.188869,0.080319,-0.708069,0.586939,-0.988173
-1.346966,0.145698,-0.489628,-0.918241,-0.436464,0.302148
0.051498,0.851617,0.137039,1.165654,0.829686,-0.688169
0.69622,1.904145,0.585661,0.369463,1.554589,-0.388211
0.816232,0.917362,0.115784,0.600851,-0.697523,1.066298
0.600087,-0.5053,0.439293,-0.261683,1.187294,-0.375843
-0.752681,0.990027,-0.192073,-0.807478,-0.051613,-0.633906
